出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","107","1","2801","彰銀","45345134.00","172291903.00","9208528.00","85083777.00","227362.00","260028625.00","--","26178418.00","119086.00","--","--","1368570176.00","0.00","0.00","--","--","58716477.00","20570760.00","13746194.00","396020.00","3818966.00","2148690.00","2066450116.00","136291380.00","--","11827999.00","--","3145460.00","23171680.00","1449842.00","--","1680942525.00","39526097.00","--","--","4004164.00","5035800.00","7208709.00","2439488.00","1915043144.00","94130007.00","--","54352476.00","2924489.00","0.00","--","--","--","--","151406972.00","--","0.00","0.00","16.08"
"114/10/29","107","1","2812","台中銀","11831594.00","29704135.00","36524229.00","32605834.00","0.00","90457442.00","9917874.00","13466426.00","1804.00","0.00","0.00","426493810.00","0.00","0.00","158616.00","246619.00","21606.00","9354877.00","45927.00","163709.00","808380.00","2102330.00","663905212.00","12735991.00","5035680.00","269079.00","0.00","5274254.00","7520168.00","379676.00","0.00","566642126.00","17500000.00","0.00","0.00","1387608.00","1551470.00","111021.00","884349.00","619291422.00","32931789.00","684156.00","10427501.00","570344.00","0.00","44613790.00","--","--","0.00","44613790.00","0.00","0.00","0.00","13.55"
"114/10/29","107","1","2820","華票","307139.00","0.00","103583731.00","98963801.00","--","--","5313971.00","1041515.00","257576.00","--","--","--","0.00","0.00","--","--","548542.00","153547.00","--","--","126151.00","49405.00","210345378.00","17361056.00","--","4544.00","--","165560312.00","388763.00","--","--","--","--","--","--","1999772.00","1524181.00","1230.00","117187.00","186957045.00","13429600.00","2474.00","9366981.00","589278.00","--","--","--","--","--","23388333.00","0.00","0.00","0.00","17.42"
"114/10/29","107","1","2834","臺企銀","40234825.00","104407457.00","1443488.00","69774058.00","--","207519924.00","29128876.00","32184885.00","129455.00","--","--","1110793874.00","0.00","0.00","--","--","80751.00","14193727.00","--","258692.00","1540108.00","2059384.00","1613749504.00","91298057.00","94082.00","3580781.00","--","1587734.00","35369372.00","352190.00","--","1344558848.00","42000000.00","--","--","9560255.00","3281435.00","881594.00","1058380.00","1533622728.00","61479617.00","0.00","16441772.00","2205387.00","0.00","80126776.00","0.00","--","0.00","80126776.00","0.00","0.00","0.00","13.03"
"114/10/29","107","1","2836","高雄銀","3094329.00","10153813.00","187309.00","18940551.00","--","43764856.00","13063849.00","1048032.00","65450.00","--","--","173074354.00","0.00","0.00","--","--","16449.00","2933374.00","--","122844.00","321499.00","185102.00","266971811.00","6595047.00","--","30732.00","--","5776754.00","3381043.00","10462.00","--","230920717.00","5500000.00","--","--","1011.00","352973.00","0.00","100545.00","252669284.00","10032238.00","1657705.00","2385022.00","227562.00","--","--","--","--","--","14302527.00","--","0.00","0.00","14.26"
"114/10/29","107","1","2838","聯邦銀","8712391.00","20586314.00","30524641.00","36891104.00","--","96712238.00","22486395.00","17532775.00","23471.00","--","--","320031872.00","0.00","0.00","52966.00","--","1652082.00","8057287.00","5361375.00","2161944.00","1271373.00","7930485.00","579988713.00","10061079.00","--","191980.00","--","42545459.00","3920465.00","79204.00","--","452309919.00","11700000.00","1457643.00","--","4321334.00","284931.00","1104600.00","3041038.00","531017652.00","28051524.00","8032413.00","10898062.00","1719675.00","--","48701674.00","--","--","269387.00","48971061.00","0.00","0.00","0.00","17.36"
"114/10/29","107","1","2845","遠東銀","6298683.00","21646661.00","51725611.00","107233030.00","--","2084845.00","13595583.00","22801793.00","127.00","--","--","360614190.00","0.00","0.00","1788874.00","--","3853924.00","2890157.00","--","1718714.00","618838.00","229674.00","597100704.00","10565773.00","--","5136506.00","--","14079321.00","5412309.00","290893.00","--","487557789.00","18601900.00","--","--","10248834.00","1229089.00","--","493245.00","553615659.00","31829286.00","456426.00","11224364.00","-25031.00","--","43485045.00","--","--","--","43485045.00","--","0.00","0.00","13.66"
"114/10/29","107","1","2849","安泰銀","4319631.00","21814326.00","14149394.00","36020844.00","--","37398102.00","2393442.00","3417264.00","59969.00","0.00","--","186291561.00","0.00","0.00","--","--","0.00","799647.00","--","194820.00","1376557.00","913889.00","309149446.00","3797030.00","--","507939.00","--","0.00","1949009.00","0.00","--","265601702.00","0.00","--","772388.00","3326261.00","432329.00","43090.00","163595.00","276593343.00","17353240.00","1441228.00","13478237.00","283398.00","0.00","--","--","--","--","32556103.00","0.00","0.00","0.00","18.76"
"114/10/29","107","1","2897","王道銀行","7517968.00","31884580.00","146072870.00","148219316.00","--","499850.00","5711661.00","19069879.00","323562.00","--","--","181553851.00","0.00","0.00","--","--","291258.00","2997417.00","--","2416215.00","713739.00","901903.00","548174069.00","66902873.00","--","1030483.00","--","171560818.00","5053877.00","180808.00","--","212405023.00","20400000.00","--","--","20055990.00","1990984.00","268243.00","2159018.00","502008117.00","24130063.00","7730.00","5060619.00","-181033.00","--","29017379.00","--","--","17148573.00","46165952.00","--","0.00","0.00","12.03"
"114/10/29","107","1","5876","上海商銀","59308607.00","222477040.00","15872582.00","357772195.00","--","117409314.00","200164.00","18103293.00","91138.00","--","--","940943392.00","0.00","0.00","1473283.00","--","5391.00","21021630.00","5174617.00","--","864476.00","3134278.00","1763851400.00","42427438.00","--","737968.00","--","35233176.00","29095237.00","1993150.00","--","1417232793.00","52372024.00","--","--","4751729.00","1933003.00","10161584.00","3051986.00","1598990088.00","40791031.00","4655555.00","75728074.00","2582721.00","-83144.00","123674237.00","--","--","41187075.00","164861312.00","--","11397439.00","0.00","30.40"
