出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1101","台泥","100887198.00","209014994.00","309902192.00","65772816.00","77912234.00","143685050.00","46705599.00","26109830.00","48333975.00","30338467.00","-218166.00","151269705.00","--","--","14947437.00","166217142.00","--","0.00","6000000.00","35.67"
"114/10/29","107","2","1102","亞泥","59629423.00","199015118.00","258644541.00","60768830.00","43439965.00","104208795.00","33614472.00","1174559.00","98095815.00","2198090.00","--","135082936.00","--","--","19352810.00","154435746.00","--","0.00","0.00","40.19"
"114/10/29","107","2","1103","嘉泥","10750140.00","20778489.00","31528629.00","3390580.00","6809571.00","10200151.00","7747805.00","643184.00","9371229.00","2867923.00","-1149426.00","19480715.00","--","--","1847763.00","21328478.00","--","0.00","131226016.00","30.27"
"114/10/29","107","2","1104","環泥","4323615.00","18190409.00","22514024.00","3567238.00","1322154.00","4889392.00","6536092.00","46951.00","9926351.00","1004471.00","--","17513865.00","--","--","110767.00","17624632.00","--","0.00","0.00","26.80"
"114/10/29","107","2","1108","幸福","5038976.00","2103347.00","7142323.00","1786816.00","947876.00","2734692.00","4047380.00","8.00","349059.00","-10115.00","0.00","4386332.00","--","--","21299.00","4407631.00","--","0.00","0.00","10.84"
"114/10/29","107","2","1109","信大","3272975.00","5743574.00","9016549.00","1202528.00","718936.00","1921464.00","3599557.00","22452.00","2321974.00","-58590.00","0.00","5885393.00","--","--","1209692.00","7095085.00","0.00","0.00","0.00","16.35"
"114/10/29","107","2","1110","東泥","2236281.00","7108977.00","9345258.00","475767.00","332460.00","808227.00","5720008.00","188057.00","2130912.00","481687.00","-12185.00","8508479.00","--","--","28552.00","8537031.00","--","0.00","2112865.00","14.93"
"114/10/29","107","2","1201","味全","20023018.00","13581835.00","33604853.00","19894706.00","5897836.00","25792542.00","5060629.00","688.00","324867.00","-94204.00","--","5291980.00","--","--","2520331.00","7812311.00","0.00","0.00","0.00","10.46"
"114/10/29","107","2","1203","味王","4087432.00","4853531.00","8940963.00","1946751.00","1526401.00","3473152.00","2400000.00","112965.00","1904391.00","126668.00","-38464.00","4505560.00","--","--","962251.00","5467811.00","0.00","0.00","2293865.00","18.95"
"114/10/29","107","2","1210","大成","21066415.00","20683076.00","41749491.00","16876983.00","3400724.00","20277707.00","7879420.00","2550673.00","4648507.00","919873.00","-306199.00","15692274.00","--","--","5779510.00","21471784.00","--","0.00","52894691.00","22.96"
"114/10/29","107","2","1213","大飲","439812.00","436253.00","876065.00","145901.00","32135.00","178036.00","566226.00","21938.00","110078.00","-213.00","--","698029.00","--","--","--","698029.00","0.00","0.00","0.00","12.33"
