出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","108","4","2801","彰銀","32418679.00","166917091.00","11483389.00","116296139.00","276058976.00","247375.00","--","23201037.00","207520.00","--","--","1427350947.00","--","--","40133881.00","20739036.00","1620404.00","13872790.00","720656.00","3312325.00","1062958.00","2135643203.00","102305626.00","--","4247279.00","--","1547291.00","21846910.00","507880.00","--","1765948203.00","55521014.00","--","--","4274900.00","5340555.00","1420392.00","7902609.00","2543349.00","1973406008.00","99853111.00","--","58495437.00","3888647.00","0.00","162237195.00","--","--","--","162237195.00","--","0.00","0.00","16.25"
"114/10/29","108","4","2812","台中銀","11359548.00","33876974.00","24375536.00","31599331.00","108124373.00","--","10256716.00","12819623.00","3279.00","--","--","435398334.00","156788.00","419393.00","2246.00","10683621.00","880406.00","18103.00","153125.00","807040.00","1754486.00","682688922.00","6527060.00","6092040.00","233803.00","--","10369025.00","5988117.00","385113.00","--","583321957.00","14000000.00","--","--","1174083.00","1383470.00","895285.00","111021.00","898742.00","631379716.00","37088349.00","726981.00","12640684.00","853192.00","0.00","51309206.00","--","--","0.00","51309206.00","0.00","0.00","0.00","13.83"
"114/10/29","108","4","2820","華票","244731.00","--","92084805.00","103117226.00","--","--","100013.00","853563.00","315759.00","--","--","--","--","--","549676.00","154192.00","4735.00","--","--","67138.00","47721.00","197539559.00","14500869.00","--","5122.00","--","156689837.00","715039.00","--","--","--","--","--","--","0.00","1398066.00","4773.00","51120.00","319271.00","173684097.00","13429600.00","7308.00","9800304.00","618250.00","--","--","--","--","--","23855462.00","0.00","0.00","0.00","17.76"
"114/10/29","108","4","2834","臺企銀","31395561.00","125431516.00","26972786.00","102597144.00","263056842.00","--","13399113.00","27736905.00","810.00","--","--","1132462936.00","--","--","19928.00","14498237.00","1051559.00","--","352376.00","1624651.00","5552450.00","1746152814.00","104793612.00","752145.00","9393336.00","--","868581.00","31057684.00","258956.00","--","1435049547.00","53250000.00","--","--","6835084.00","3158003.00","1041183.00","888436.00","3289481.00","1650636048.00","71319842.00","815900.00","19702723.00","3678301.00","0.00","95516766.00","0.00","--","0.00","95516766.00","0.00","0.00","0.00","13.39"
"114/10/29","108","4","2836","高雄銀","2833786.00","13412538.00","482216.00","18807763.00","49566827.00","--","5352821.00","1318777.00","19095.00","--","--","175151435.00","--","--","35435.00","2833780.00","265982.00","--","128639.00","203637.00","243173.00","270655904.00","8834876.00","--","32628.00","--","8890539.00","3419076.00","18116.00","--","225754145.00","7500000.00","--","--","171.00","379916.00","280819.00","--","116008.00","255226294.00","10809165.00","1242676.00","3011504.00","366265.00","--","--","--","--","--","15429610.00","0.00","0.00","0.00","14.27"
"114/10/29","108","4","2838","聯邦銀","12382445.00","17344886.00","30917254.00","41236965.00","104170149.00","--","51417825.00","21177107.00","58716.00","--","--","384649673.00","1587482.00","--","3632648.00","7969302.00","1439735.00","5369780.00","2137457.00","698921.00","8970842.00","695161187.00","11860732.00","--","650981.00","--","65377436.00","4615289.00","369729.00","--","532899100.00","10200000.00","1473858.00","--","4887786.00","258535.00","1415180.00","1617201.00","3285481.00","638911308.00","30844553.00","8035484.00","12683372.00","4684892.00","--","56248301.00","--","--","1578.00","56249879.00","--","0.00","0.00","18.24"
"114/10/29","108","4","2845","遠東銀","8818435.00","27603298.00","53015441.00","132309472.00","2543880.00","--","9944957.00","22575863.00","--","--","--","384624817.00","1812522.00","--","5547572.00","2913291.00","1025968.00","--","1674119.00","249411.00","228504.00","654887550.00","11137130.00","--","3909304.00","--","9675529.00","6703497.00","365937.00","--","537396140.00","25001900.00","--","--","10478546.00","1235204.00","1040827.00","--","659123.00","607603137.00","33558193.00","456426.00","12833788.00","436006.00","--","47284413.00","--","--","--","47284413.00","--","0.00","0.00","14.09"
"114/10/29","108","4","2849","安泰銀","3822055.00","14300860.00","10243630.00","32655544.00","35165480.00","--","1435000.00","4742820.00","52118.00","--","--","199957897.00","--","--","0.00","696733.00","724450.00","--","187467.00","699788.00","1387566.00","306071408.00","5144530.00","--","533051.00","--","0.00","2544412.00","70971.00","--","260899159.00","--","--","143776.00","1673752.00","492585.00","726173.00","28552.00","120818.00","272377779.00","19579101.00","404990.00","13230594.00","478944.00","0.00","--","--","--","--","33693629.00","0.00","0.00","0.00","17.21"
"114/10/29","108","4","2897","王道銀行","6570002.00","19311763.00","172913193.00","142112770.00","0.00","--","100013.00","16483174.00","422886.00","--","--","194246229.00","--","--","1229503.00","2854194.00","485426.00","--","2319547.00","734542.00","916774.00","560700016.00","43439398.00","--","533582.00","--","159553385.00","3744206.00","46361.00","--","265731824.00","18700000.00","--","--","12909259.00","1915054.00","498832.00","451572.00","2360266.00","509883739.00","27130063.00","9750.00","6186867.00","-67477.00","--","33259203.00","--","--","17557074.00","50816277.00","--","0.00","0.00","12.26"
"114/10/29","108","4","5876","上海商銀","57667823.00","239210172.00","11516965.00","483080348.00","109307916.00","--","1899574.00","17797050.00","116128.00","--","--","1112129414.00","1851065.00","--","5289234.00","21213428.00","2344427.00","5650641.00","1807755.00","1152968.00","3521826.00","2075556734.00","73492530.00","--","3837825.00","--","11060621.00","27226499.00","2568931.00","--","1655067703.00","73254112.00","--","--","6038982.00","2631696.00","2415515.00","10044216.00","3691779.00","1871330409.00","44816031.00","16432561.00","85182232.00","7219939.00","-83144.00","153567619.00","--","--","50658706.00","204226325.00","--","11397439.00","0.00","34.35"
