出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","109","2","2801","彰銀","24856067.00","163425448.00","15475352.00","112222291.00","310472192.00","287633.00","--","19294449.00","421689.00","--","--","1491585277.00","--","--","29651778.00","20658287.00","1616428.00","13869321.00","696655.00","3512935.00","1464966.00","2209510768.00","128866444.00","4104720.00","5100749.00","--","1847351.00","30982452.00","748731.00","--","1800588160.00","54603505.00","--","--","2994609.00","5189304.00","1426202.00","8535529.00","2441983.00","2047429739.00","103847235.00","--","--","54757627.00","3476167.00","0.00","162081029.00","--","--","--","162081029.00","--","0.00","0.00","16.23"
"114/10/29","109","2","2812","台中銀","14593320.00","33651818.00","23479709.00","38196785.00","110638662.00","--","13181595.00","15826672.00","3312.00","--","--","447794081.00","162287.00","505425.00","72246.00","11985074.00","811897.00","18058.00","166835.00","811406.00","2026695.00","713925877.00","5926107.00","5785227.00","296298.00","--","6660862.00","11572464.00","312911.00","--","614692107.00","11500000.00","--","--","1554608.00","1358631.00","832072.00","111021.00","929753.00","661532061.00","39016943.00","--","726981.00","11513858.00","1136034.00","0.00","52393816.00","0.00","--","0.00","52393816.00","0.00","0.00","0.00","14.13"
"114/10/29","109","2","2820","華票","247795.00","--","91976840.00","100648359.00","--","--","4010578.00","1806030.00","268510.00","--","--","--","--","--","550383.00","156205.00","4373.00","--","--","67053.00","50061.00","199786187.00","14400726.00","--","14630.00","--","155637790.00","2006628.00","129634.00","--","--","--","--","--","1499758.00","1392742.00","4416.00","101060.00","529334.00","175716718.00","13429600.00","--","9028.00","9603269.00","1027572.00","--","--","--","--","--","24069469.00","--","0.00","0.00","17.92"
"114/10/29","109","2","2834","臺企銀","30090773.00","74877540.00","11104812.00","108305996.00","225628774.00","--","1398911.00","25885369.00","10705.00","--","--","1164671693.00","--","--","21991.00","14486849.00","935445.00","--","349539.00","1810872.00","4710358.00","1664289627.00","118697653.00","5268450.00","9128650.00","--","1722177.00","32472657.00","250815.00","--","1327522257.00","58250000.00","--","--","5672593.00","3169666.00","922136.00","891935.00","3896302.00","1567865291.00","74885834.00","0.00","815900.00","16969506.00","3753096.00","0.00","96424336.00","0.00","--","0.00","96424336.00","0.00","0.00","0.00","13.52"
"114/10/29","109","2","2836","高雄銀","3179499.00","11571890.00","698761.00","20520741.00","49528523.00","--","6266630.00","1618625.00","0.00","--","--","174092089.00","--","--","201431.00","2920521.00","300643.00","--","137972.00","165457.00","261160.00","271463942.00","9150707.00","183050.00","35806.00","--","8062554.00","4274028.00","6203.00","--","225585443.00","7500000.00","--","--","129.00","377724.00","314156.00","--","83357.00","255573157.00","10809165.00","--","1242676.00","3418285.00","420659.00","--","--","--","--","--","15890785.00","0.00","0.00","0.00","14.70"
"114/10/29","109","2","2838","聯邦銀","12200026.00","27473840.00","50988680.00","46702512.00","97404050.00","--","64757235.00","21370746.00","103122.00","--","--","394519205.00","1566415.00","--","4582560.00","7951751.00","1367148.00","5328163.00","2119838.00","739786.00","8997188.00","748172265.00","24414910.00","540940.00","473464.00","--","74757376.00","7294427.00","252507.00","--","559645019.00","10200000.00","1464692.00","--","5876598.00","327468.00","1341893.00","1579723.00","3468873.00","691637890.00","32938239.00","--","8035484.00","10881665.00","4677391.00","--","56532779.00","--","--","1596.00","56534375.00","--","0.00","0.00","18.33"
"114/10/29","109","2","2845","遠東銀","5294085.00","23991167.00","36818134.00","151930029.00","2213737.00","--","5437750.00","20732173.00","--","--","--","393297001.00","1830510.00","--","5994671.00","2985235.00","959430.00","--","1661378.00","319096.00","253248.00","653717644.00","5142381.00","5800.00","3974520.00","--","9621269.00","7642758.00","197697.00","--","535513079.00","25001900.00","--","--","16049407.00","1221623.00","969273.00","--","674019.00","606013726.00","34481044.00","--","456426.00","11843036.00","923412.00","--","47703918.00","--","--","--","47703918.00","--","0.00","0.00","14.22"
"114/10/29","109","2","2849","安泰銀","2774560.00","11216566.00","25055725.00","40655963.00","33879431.00","--","2465806.00","4567742.00","3883.00","--","--","196273974.00","--","--","0.00","681476.00","688008.00","--","190222.00","531683.00","1402156.00","320387195.00","7658366.00","13600.00","709624.00","--","1470710.00","3565848.00","34098.00","--","267242006.00","--","--","144586.00","4672255.00","510960.00","697141.00","29698.00","130974.00","286879866.00","19579101.00","--","404990.00","12988770.00","534468.00","0.00","--","--","--","--","33507329.00","0.00","0.00","0.00","17.11"
"114/10/29","109","2","2897","王道銀行","6696015.00","22462176.00","158658657.00","162796688.00","0.00","--","4010578.00","15063043.00","381968.00","--","--","194231869.00","--","--","2314252.00","2747173.00","459125.00","--","2260082.00","714975.00","877587.00","573674188.00","52049753.00","--","394302.00","--","158289087.00","4748158.00","198047.00","--","272278213.00","16400000.00","--","--","13780458.00","1991524.00","475749.00","523236.00","2263328.00","523391855.00","27130063.00","--","10574.00","5515598.00","-50308.00","-38304.00","32567623.00","--","--","17714710.00","50282333.00","--","5737000.00","0.00","12.03"
"114/10/29","109","2","5876","上海商銀","73323410.00","228591647.00","13792776.00","513447861.00","89258300.00","--","1168783.00","22634063.00","236398.00","--","--","1136986364.00","1780130.00","--","2709590.00","21107688.00","2321139.00","5704941.00","1737406.00","831435.00","4473641.00","2120105572.00","54591657.00","--","5132524.00","--","32268848.00","43620036.00","1963710.00","--","1675603567.00","82954624.00","--","--","6276162.00","2648678.00","2383133.00","9607827.00","3459684.00","1920510450.00","44816031.00","--","16432561.00","82628856.00","6044480.00","-83144.00","149838784.00","--","--","49756338.00","199595122.00","--","11397439.00","0.00","33.52"
