出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","109","3","2880","華南金","35494112.00","194730976.00","50968983.00","220111252.00","537085845.00","--","499724.00","44979380.00","443212.00","--","--","1762710933.00","5254664.00","169237.00","--","33466371.00","11404367.00","31720693.00","2028170.00","934266.00","3301060.00","7187786.00","2942491031.00","130134998.00","12523250.00","4698314.00","--","28962342.00","19072868.00","47221769.00","2074889.00","--","2381274585.00","63188404.00","1381580.00","--","22590411.00","24729260.00","1991288.00","6128071.00","11479235.00","2757451264.00","128547788.00","17758986.00","30210662.00","8520358.00","--","--","185037794.00","1973.00","185039767.00","--","0.00","0.00","14.39"
"114/10/29","109","3","2881","富邦金","289954805.00","293656496.00","1310946079.00","890034304.00","2731654702.00","4556338.00","113393363.00","227146132.00","1022507.00","0.00","--","2098062295.00","27453712.00","31906669.00","--","448067616.00","301022315.00","58017644.00","6652049.00","32065084.00","26336914.00","65678509.00","8957627533.00","169944530.00","4666750.00","41769877.00","14917815.00","158308306.00","23796191.00","138648419.00","9480299.00","--","2630164041.00","262280608.00","1356720.00","--","4225792760.00","493890982.00","21068844.00","26711934.00","62747943.00","8285546019.00","115002640.00","137675468.00","348533684.00","57985991.00","--","--","659197783.00","12883731.00","672081514.00","0.00","0.00","0.00","57.32"
"114/10/29","109","3","2882","國泰金","494736913.00","160635656.00","1684851058.00","1428047111.00","3125566149.00","386927.00","63619193.00","167753341.00","4728086.00","--","--","2086797598.00","8814621.00","32836012.00","--","608132840.00","412290064.00","100978291.00","3847703.00","55079730.00","58436774.00","64481923.00","10562019990.00","67455803.00","1000000.00","121107668.00","57171.00","20121182.00","38879972.00","69580012.00","21536825.00","--","2485831901.00","148800000.00","372779.00","--","6007555764.00","649688701.00","12772008.00","57085577.00","35544620.00","9737389983.00","147025102.00","177255256.00","360192487.00","128782575.00","--","--","813255420.00","11374587.00","824630007.00","--","0.00","0.00","55.31"
"114/10/29","109","3","2883","凱基金","78686321.00","30047113.00","549389731.00","673168572.00","1033718741.00","79433.00","39697297.00","141047152.00","723584.00","--","--","401622888.00","658920.00","14674474.00","--","130536267.00","29914749.00","35750317.00","14195251.00","19689841.00","10761501.00","88408228.00","3292770380.00","17491012.00","52010.00","102075657.00","889177.00","131653554.00","14432735.00","89153203.00","2415588.00","--","454523800.00","47529436.00","38640596.00","--","1862920223.00","148379774.00","4572598.00","14559142.00","66977169.00","2996265674.00","149728867.00","1333784.00","30456111.00","6912590.00","-3071470.00","--","185359882.00","111144824.00","296504706.00","--","1789051.00","369318307.00","12.69"
"114/10/29","109","3","2884","玉山金","41926889.00","125859757.00","590705072.00","251002455.00","15166618.00","--","4271448.00","109452212.00","42602.00","0.00","--","1576579493.00","--","--","--","9326041.00","1800513.00","33162921.00","3183642.00","6119052.00","1701018.00","11375500.00","2781675233.00","69427556.00","5061470.00","68249023.00","--","13929233.00","3995363.00","32640905.00","1117269.00","--","2292068492.00","40470000.00","1307850.00","--","878943.00","62081721.00","3264425.00","1392886.00","8804434.00","2604689570.00","125671000.00","25350214.00","26560300.00","-718293.00","--","--","176863221.00","122442.00","176985663.00","--","0.00","0.00","14.07"
"114/10/29","109","3","2885","元大金","66270398.00","53943976.00","548865099.00","260323166.00","418599120.00","--","55448338.00","187204140.00","994944.00","73864.00","--","786420576.00","973344.00","2594021.00","3627071.00","89331918.00","16162120.00","18534578.00","13012887.00","32900006.00","6543022.00","50522311.00","2612344899.00","11869727.00","675000.00","137876744.00","--","225091924.00","23847814.00","184163748.00","6190633.00","--","1154910925.00","73809494.00","57738772.00","--","297917927.00","94447974.00","6140907.00","4368484.00","68742021.00","2347792094.00","121374360.00","37842681.00","77625049.00","9772535.00","0.00","--","246614625.00","17938180.00","264552805.00","0.00","0.00","0.00","20.32"
"114/10/29","109","3","2886","兆豐金","132463465.00","416970694.00","207354659.00","541884542.00","440350940.00","--","6621694.00","80755838.00","425101.00","0.00","--","1885472261.00","4832303.00","5492105.00","--","5772024.00","1019778.00","21964255.00","1791825.00","778699.00","5711472.00","7360200.00","3767021855.00","481110523.00","19231348.00","22828989.00","--","264234653.00","21080137.00","88317541.00","10739581.00","--","2457156994.00","18000000.00","591439.00","--","28802294.00","13473665.00","1842112.00","3387678.00","16299103.00","3447096057.00","135998240.00","68194233.00","102801282.00","12932043.00","0.00","0.00","319925798.00","0.00","319925798.00","--","0.00","0.00","23.52"
"114/10/29","109","3","2887","台新新光金","22453070.00","86585759.00","122570152.00","195479577.00","250281369.00","--","3725149.00","151663172.00","29405.00","--","--","1219615359.00","--","41720445.00","--","9569138.00","1068670.00","19085748.00","2881873.00","3173875.00","2852645.00","7374646.00","2140130052.00","50495510.00","1549340.00","26363169.00","--","94714335.00","16841125.00","36477958.00","2019582.00","--","1560629866.00","70100000.00","10525895.00","--","1751763.00","71603155.00","2975268.00","119912.00","11192564.00","1957359442.00","117099516.00","35944940.00","28653074.00","1046237.00","--","--","182743767.00","26843.00","182770610.00","--","4825000.00","0.00","15.60"
"114/10/29","109","3","2889","國票金","3240042.00","6.00","122951109.00","124302214.00","--","--","77017.00","22206978.00","64.00","--","--","--","--","6715743.00","--","9337582.00","--","7370339.00","149166.00","224144.00","110678.00","3685351.00","300370433.00","--","24179117.00","1016842.00","--","193383975.00","18105519.00","13084510.00","454621.00","--","--","--","--","--","1578245.00","3989173.00","149754.00","487821.00","2608466.00","259038043.00","28964817.00","153610.00","4774999.00","3182628.00","-106346.00","--","36969708.00","4362682.00","41332390.00","0.00","0.00","10000000.00","12.81"
"114/10/29","109","3","2890","永豐金","22233154.00","147206421.00","91661152.00","281387092.00","155047885.00","--","35440643.00","82270257.00","311655.00","--","--","1134064381.00","--","538757.00","--","33977887.00","2478947.00","13106590.00","3427837.00","2180683.00","2246643.00","26349315.00","2033929299.00","69107210.00","64680.00","22584234.00","--","31412530.00","21490605.00","44939160.00","1341984.00","--","1556571689.00","51632663.00","16212690.00","18437.00","3578331.00","41574432.00","2829415.00","1473628.00","18320618.00","1883152306.00","112710541.00","2228764.00","33113061.00","2724627.00","--","--","150776993.00","0.00","150776993.00","--","0.00","0.00","13.38"
"114/10/29","109","3","2891","中信金","143156996.00","345166152.00","505342067.00","602885515.00","1812654423.00","174001.00","11959524.00","176647397.00","1373036.00","--","--","2493463872.00","2705258.00","29825435.00","--","105984596.00","85586885.00","49699253.00","16503769.00","24414979.00","18162805.00","50284841.00","6475990804.00","55409788.00","14026278.00","92630798.00","70929.00","122063876.00","21233106.00","98443288.00","7506234.00","--","3607053116.00","124380132.00","--","--","1758424391.00","156530451.00","15450988.00","9715913.00","20629769.00","6103569057.00","199969796.00","58754923.00","138934685.00","-25314911.00","--","--","372344493.00","77254.00","372421747.00","0.00","0.00","0.00","18.62"
