出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/12","114","3","1259","安心","1179355.00","5821648.00","7001003.00","2049215.00","1769810.00","3819025.00","323895.00","--","809816.00","954217.00","1085626.00","--","3173554.00","--","--","8424.00","3181978.00","0.00","0.00","0.00","97.98"
"114/11/12","114","3","1268","漢來美食","2484533.00","4648160.00","7132693.00","2284241.00","2635139.00","4919380.00","422237.00","--","1123334.00","666740.00","1002.00","--","2213313.00","--","--","--","2213313.00","--","0.00","0.00","52.42"
"114/11/12","114","3","1295","生合","772339.00","2079680.00","2852019.00","528677.00","1053196.00","1581873.00","344748.00","--","402165.00","537436.00","-14203.00","--","1270146.00","--","--","--","1270146.00","0.00","0.00","0.00","36.84"
"114/11/12","114","3","1336","台翰","1238528.00","1854944.00","3093472.00","1017090.00","299288.00","1316378.00","776144.00","--","676871.00","551229.00","-227150.00","--","1777094.00","--","--","--","1777094.00","0.00","0.00","0.00","22.90"
"114/11/12","114","3","1565","精華","3815264.00","3743588.00","7558852.00","926772.00","216448.00","1143220.00","504165.00","--","526000.00","5384421.00","1046.00","--","6415632.00","--","--","--","6415632.00","0.00","0.00","0.00","127.25"
"114/11/12","114","3","1584","精剛","3231462.00","4166761.00","7398223.00","1370973.00","1200433.00","2571406.00","2324705.00","--","2044435.00","493566.00","-25656.00","-79414.00","4757636.00","--","--","69181.00","4826817.00","0.00","0.00","3134000.00","20.75"
"114/11/12","114","3","1586","和勤","1838106.00","1836655.00","3674761.00","1303878.00","534831.00","1838709.00","1068495.00","--","832685.00","295666.00","-140470.00","-220324.00","1836052.00","--","--","--","1836052.00","0.00","0.00","5554000.00","18.13"
"114/11/12","114","3","1593","祺驊","896484.00","1160065.00","2056549.00","418442.00","270484.00","688926.00","397848.00","--","584944.00","374443.00","-80955.00","--","1276280.00","--","--","91343.00","1367623.00","--","0.00","0.00","32.08"
"114/11/12","114","3","1595","川寶","2642663.00","1391969.00","4034632.00","1017973.00","293814.00","1311787.00","541995.00","--","781593.00","1416277.00","-9301.00","-7623.00","2722941.00","--","--","-96.00","2722845.00","--","0.00","762300.00","50.96"
"114/11/12","114","3","1599","宏佳騰","1318823.00","1483445.00","2802268.00","717026.00","121274.00","838300.00","745287.00","--","437308.00","853694.00","-8928.00","-95750.00","1931611.00","--","--","32357.00","1963968.00","0.00","0.00","2500000.00","26.82"
