出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","108","1","1101","台泥","4898817.00","-4310585.00","7753479.00","625254.00","8966965.00","48507889.00","57474854.00"
"114/10/29","108","1","1102","亞泥","6284976.00","-5479384.00","60295.00","202664.00","1068551.00","14929411.00","15997962.00"
"114/10/29","108","1","1103","嘉泥","14428.00","-919265.00","197616.00","9391.00","-697830.00","1969663.00","1271833.00"
"114/10/29","108","1","1104","環泥","-16455.00","-106270.00","51453.00","--","-71272.00","269426.00","198154.00"
"114/10/29","108","1","1108","幸福","-31733.00","28099.00","-6974.00","119.00","-10489.00","198802.00","188313.00"
"114/10/29","108","1","1109","信大","227520.00","-23948.00","-104974.00","36061.00","134659.00","552304.00","686963.00"
"114/10/29","108","1","1110","東泥","-75654.00","-184518.00","173764.00","--","-86408.00","214502.00","128094.00"
"114/10/29","108","1","1201","味全","-457953.00","1370281.00","-832080.00","-26294.00","53954.00","2989575.00","3043529.00"
"114/10/29","108","1","1203","味王","79098.00","-83191.00","165428.00","38756.00","200091.00","1184559.00","1384650.00"
"114/10/29","108","1","1210","大成","1704857.00","-1506176.00","249316.00","-228076.00","219921.00","2979821.00","3199742.00"
"114/10/29","108","1","1213","大飲","-74790.00","17415.00","37018.00","-22.00","-20379.00","38133.00","17754.00"
"114/10/29","108","1","1215","卜蜂","379933.00","-309486.00","-27440.00","-42619.00","388.00","134880.00","135268.00"
"114/10/29","108","1","1216","統一","9217523.00","-12892059.00","-5373590.00","679089.00","-8369037.00","80060950.00","71691913.00"
"114/10/29","108","1","1217","愛之味","-276622.00","-5268.00","277380.00","-9197.00","-13707.00","385042.00","371335.00"
"114/10/29","108","1","1218","泰山","341045.00","10836.00","-299436.00","4226.00","56671.00","1279547.00","1336218.00"
"114/10/29","108","1","1219","福壽","122886.00","-45493.00","-169531.00","-1188.00","-93326.00","990238.00","896912.00"
"114/10/29","108","1","1220","台榮","135749.00","28760.00","-75722.00","0.00","88787.00","371725.00","460512.00"
"114/10/29","108","1","1225","福懋油","262028.00","-362930.00","114151.00","1207.00","14456.00","482737.00","497193.00"
"114/10/29","108","1","1227","佳格","754889.00","-268079.00","-364835.00","65672.00","187647.00","2589952.00","2777599.00"
"114/10/29","108","1","1229","聯華","203710.00","211693.00","189441.00","-6858.00","597986.00","707098.00","1305084.00"
"114/10/29","108","1","1231","聯華食","-19441.00","-64638.00","91108.00","-653.00","6376.00","563767.00","570143.00"
"114/10/29","108","1","1232","大統益","693354.00","-17474.00","16232.00","--","692112.00","1791441.00","2483553.00"
"114/10/29","108","1","1233","天仁","69630.00","-9148.00","-79700.00","161.00","-19057.00","218633.00","199576.00"
"114/10/29","108","1","1234","黑松","-1087.00","273050.00","-303864.00","4099.00","-27802.00","1275854.00","1248052.00"
"114/10/29","108","1","1235","興泰","18408.00","-24448.00","32109.00","--","26069.00","2916.00","28985.00"
"114/10/29","108","1","1236","宏亞","-20968.00","-24929.00","57977.00","52.00","12132.00","40493.00","52625.00"
"114/10/29","108","1","1256","鮮活果汁-KY","97888.00","-135247.00","-14180.00","11302.00","-40237.00","511020.00","470783.00"
"114/10/29","108","1","1301","台塑","8434731.00","-6826739.00","-4448312.00","39399.00","-2800921.00","23310772.00","20509851.00"
"114/10/29","108","1","1303","南亞","7593718.00","-8522867.00","-2217963.00","967259.00","-2179853.00","45288421.00","43108568.00"
"114/10/29","108","1","1304","台聚","-1083921.00","-315147.00","1077639.00","-11582.00","-333011.00","8123304.00","7790293.00"
"114/10/29","108","1","1305","華夏","273497.00","-188291.00","-258338.00","2407.00","-170725.00","934680.00","763955.00"
"114/10/29","108","1","1307","三芳","93653.00","-150111.00","46841.00","22456.00","12839.00","3083864.00","3096703.00"
"114/10/29","108","1","1308","亞聚","-1007514.00","-1850.00","748734.00","2722.00","-257908.00","1134203.00","876295.00"
"114/10/29","108","1","1309","台達化","630665.00","37034.00","-366100.00","5311.00","306910.00","602671.00","909581.00"
"114/10/29","108","1","1310","台苯","74559.00","-38498.00","-181060.00","2500.00","-142499.00","2122960.00","1980461.00"
"114/10/29","108","1","1312","國喬","688568.00","-969329.00","-17959.00","67964.00","-230756.00","2729454.00","2498698.00"
"114/10/29","108","1","1313","聯成","-620847.00","-705161.00","373914.00","231683.00","-720411.00","4892316.00","4171905.00"
"114/10/29","108","1","1314","中石化","-1529452.00","-996579.00","2103238.00","53239.00","-369554.00","13469938.00","13100384.00"
"114/10/29","108","1","1315","達新","36931.00","91445.00","-63917.00","5106.00","69565.00","636813.00","706378.00"
"114/10/29","108","1","1316","上曜","-348759.00","89434.00","8335.00","161.00","-250829.00","1383899.00","1133070.00"
