"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1240 - 茂生農經","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/18","111/06/27","        289,639,111","        131,173,201","        408,705,262","        316,804,802","2.00000000","0.0","0.0","         73,520,370","0.50000000","0.0","0.0","          1,838,009","本公司年度總決算如有盈餘時，除先依法完納
稅捐，彌補累積虧損後，次提10%為法定盈餘
公積，但法定盈餘公積已達本公司實收資本額
時，得不再提列；再依法令或主管機關規定
提撥或迴轉特別盈餘公積；其餘額併同累積
未分配盈餘，由董事會擬具盈餘分派議案，
提請股東會決議分派股東股息紅利。若公司
股東會決議發放股東紅利時，得以現金或
股票方式為之。本公司股利政策係考量以公司
永續經營、穩定成長及維護股東權益、健全
財務結購為目標，由董事會依公司資金需求
擬訂盈餘分派案。若公司股東會決議發放股東
股利時，就累積可供分配盈餘提撥不低於10％
分配股東股息紅利，惟累積可供分配盈餘低於
實收股本 1％時，得不予分配，其中現金股利
不得低於股利總額之10%","",
"1259 - 安心","股東會確認","110年 年度","110/01/01~110/12/31","1","0","111/05/31","                  0","                  0","                  0","                  0","2.30000000","0.0","0.0","         74,495,850","0.0","0.0","0.0","                  0","股利分派條次：公司章程連結網址：","",
"1264 - 德麥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/21","111/06/10","        693,964,177","        599,725,051","      1,217,981,184","        773,352,780","12.00000000","0.0","0.0","        444,628,404","0.0","0.0","0.0","                  0","本公司正值成長階段，基於公司營運之需要暨股東權益最大化之考量，股利分配採剩餘股利政策，依本公司未來之資本預算規劃，衡量未來年度之資金需求，並綜合考量獲利狀況財務結構及每年盈餘稀釋程度等因素將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放以不低於當年度全部股利之百分之二十。","",
"1268 - 漢來美食","董事會決議","110年 年度","110/01/01~110/12/31","1","111/04/14","不適用","        179,393,574","         75,343,018","        237,774,714","        111,103,524","3.00000000","0.0","0.0","        126,671,190","0.0","0.0","0.0","                  0","第廿二條：本公司年度決算如有盈餘，依法提繳稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積累積已達本公司實收資本額時，得不再提列，其餘再依法令或主管機關規定提列或迴轉特別盈餘公積；如尚有餘額，併同累計未分配盈餘，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條規定，授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。
第廿三條：本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素而定，每年就可供分配盈餘提撥不低於10%分配股東股息紅利，惟累積可供分配盈餘低於實收股本1%時，得不予分配；分派股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之20%。","無",
"1294 - 漢田生技","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/08","111/06/22","          9,914,864","         32,557,516","         39,216,628","          6,597,208","0.0","0.0","0.0","                  0","2.87500000","0.0","0.0","          3,261,942","第二十八條：本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提百分之十為
法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；次按法令規定提列或迴轉特別盈餘公積，如尚有餘額，其餘額併同期初累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。","",
"1295 - 生合","股東會確認","110年 年度","110/01/01~110/12/31","1","111/05/13","111/06/24","        114,196,020","        159,967,257","        258,166,551","        188,016,551","2.28200000","0.0","0.0","         70,150,000","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，應先提繳稅捐，彌補往年虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。必要時得另提列特別盈餘公積。如尚有盈餘，由董事會擬具盈餘分派議案，提請股東會承認後分配之；惟累積可供分配盈餘低於實收資本額10%，得不予分配。
本公司股利發放政策，係考量公司所處產業環境及成長性，因應未來資金需求及長期財務規劃，及滿足股東對現金流入之需求為原則。分派比率係依當年度之盈餘狀況、整體發展及財務規劃等相關因素決定，得以現金股利或股票股利之方式分派，並提報股東會同意後執行之。惟現金股利分派之比例不得低於當年度股利分派總額之百分之二十。","",
"1336 - 台翰","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/14","111/05/31","         37,859,242","         77,057,990","         63,960,873","         33,121,505","0.40000000","0.0","0.0","         30,839,368","0.0","0.0","0.0","                  0","第二十條：本公司股利政策採穩健平衡原則，並參酌獲利狀況、財務結構及公司未來發展等因素，就當年度所分配之股利中提撥至少百分之二十發放現金股利。
第廿一條：本公司每年決算後當期淨利，應先彌補虧損，次就其餘額提存百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。另依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，同以前年度累積未分配盈餘及當年度未分配盈餘調整數額，由董事會擬具分派議案，提請股東會決議分派之。","",
"1565 - 精華","董事會決議","110年 年度","110/01/01~110/12/31","1","111/03/22","不適用","      2,232,395,592","        947,758,774","      3,087,247,517","      2,330,999,777","15.00000000","0.0","0.0","        756,247,740","0.0","0.0","0.0","                  0","第廿四條之一：本公司年度總決算如有盈餘，除依法繳納稅捐外，應先彌補虧損，次提百分之十為法定盈餘公積，但法定公積已達實收資本額時，得免繼續提撥，並按法令規定或得視業務需要，提列或迴轉特別盈餘公積，如尚有
餘額，併同累計未分配盈餘，由董事會擬具盈餘分派案，以發行新股為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。","無",
"1569 - 濱川","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/25","111/06/22","        371,662,846","        315,430,349","        620,949,348","        426,633,442","1.60000000","0.0","0.0","        194,315,906","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，依下列順序分派
之：
1、提繳稅捐。
2、彌補以往年度虧損。
3、提列百分之十為法定盈餘公積(但法定盈餘
公積已達股本總額時不在此限)。
4、按法令規定提列或迴轉特別盈餘公積。
5、其餘加計期初未分配盈餘後由董事會擬訂
盈餘分派案分派之，惟股利分配數額不得低於
當年度利潤依1 至4 規定數額扣除後剩餘數額
之25%。惟若當年度利潤依1至4規定數額扣除
後剩餘數額低於實收資本額之百分之二時得不
予發放。
股利政策
本公司正處於企業成長階段，為考量公司財務
結構及因應未來預計資本支出之需要，本公司
股利政策係以部分分派股票股利及部分分派現
金股利，其中現金股利百分之二十至百分百，
股票股利零至百分之八十。惟為維持公司每股
獲利水準，考量股票股利對公司營業績效之影
響，如股利發放年度之每股盈餘較前一年度衰
退達百分之二十以上者，或得視資金情形，調
整現金股利發放比例為百分之五十至百分之
百，股票股利零至百分之五十，依前述原則決
定最適當之股利政策及發放方式，由董事會擬
具盈餘分派案，經股東會決議後辦理。","",
"1570 - 力肯","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/25","111/06/14","        173,514,356","        134,525,466","        294,163,450","        242,662,611","1.00000000","0.0","0.0","         51,500,839","0.0","0.0","0.0","                  0","第23-1條：
本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合業務規模拓展，考量公司資本支出及營運週轉所需，並同時兼顧股東利益。股東紅利之分派得以現金或股票方式發放，其中現金股利不得低於股東紅利之百分之十。","",
"1580 - 新麥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/15","111/05/31","        762,911,414","        510,166,853","      1,235,867,069","        884,255,375","7.00000000","0.0","0.0","        351,611,694","0.0","0.0","0.0","                  0","本公司年度扣除員工酬勞及董事酬勞前之本期稅前利益，應提撥百分之二至百分之十為員工酬勞及不高於百分之五之董事酬勞。前項員工酬勞得以股票或現金為之，其給付對象得包括符合董事會所訂條件之從屬公司員工。前項董事酬勞僅得以現金為之。前二項應由董事會決議行之，並報告股東會。經前項董事會決議以股票之方式發給員工酬勞者，得同次決議以發行新股或收買自己之股份為之。
但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董事酬勞。
本公司年度決算如有本期稅後淨利，應先彌補累積虧損後(包括調整未分配盈餘金額)，再依法提撥百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，不在此限。次依法令或主管機關規定提撥或迴轉特別盈餘公積；嗣餘盈餘，連同期初未分配盈餘(包括調整未分配盈餘金額)，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，每年就可供分配盈餘提撥不低於百分之二十分配股東股息紅利，分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之百分之二十。","",
"1584 - 精剛","股東會確認","110年 年度","110/01/01~110/12/31","1","111/02/24","111/05/26","                  0","         54,289,855","         30,969,074","          6,474,967","0.20000000","0.0","0.0","         24,494,107","0.0","0.0","0.0","                  0","本公司年終結算如有盈餘，除提付應納稅款外，應先彌補以往年度虧損，次就其餘額提出百分之十為法定盈餘公積，並得視業務需要或法令規定提列特別盈餘公積，如尚有盈餘，加計前期累積未分配盈餘後，由董事會擬定分配案，提請股東會通過後分配之。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之百分之五十。","",
