出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","107","4","2801","彰銀","23189644.00","9918545.00","2203252.00","16194853.00","14710084.00","2063549.00","12646535.00","--","--","12646535.00","109534.00","12756069.00","12646535.00","--","--","12756069.00","--","--","1.29"
"114/10/29","107","4","2812","台中銀","8434210.00","3255214.00","472772.00","6456769.00","4759883.00","751514.00","4008369.00","0.00","--","4008369.00","33153.00","4041522.00","4008369.00","0.00","0.00","4041522.00","0.00","0.00","1.18"
"114/10/29","107","4","2820","華票","971688.00","1005520.00","-131603.00","478583.00","1630228.00","294809.00","1335419.00","--","--","1335419.00","-236507.00","1098912.00","--","--","--","--","--","--","0.99"
"114/10/29","107","4","2834","臺企銀","17197876.00","5829071.00","794134.00","13034396.00","9198417.00","1557875.00","7640542.00","0.00","--","7640542.00","583288.00","8223830.00","7640542.00","0.00","0.00","8223830.00","0.00","0.00","1.19"
"114/10/29","107","4","2836","高雄銀","2631633.00","867987.00","717977.00","2293511.00","488132.00","8529.00","479603.00","--","--","479603.00","-258576.00","221027.00","--","--","--","--","--","--","0.46"
"114/10/29","107","4","2838","聯邦銀","6701788.00","6030533.00","293579.00","8962158.00","3476584.00","521583.00","2955001.00","--","--","2955001.00","-412950.00","2542051.00","2956724.00","--","-1723.00","2544240.00","--","-2189.00","1.07"
"114/10/29","107","4","2845","遠東銀","5680803.00","5537474.00","514803.00","6634995.00","4068479.00","544278.00","3524201.00","--","--","3524201.00","-329695.00","3194506.00","3524201.00","--","--","3194506.00","--","--","1.08"
"114/10/29","107","4","2849","安泰銀","3796315.00","2613083.00","676306.00","2887878.00","2845214.00","634933.00","2210281.00","0.00","--","2210281.00","-31863.00","2178418.00","--","--","--","--","--","--","1.26"
"114/10/29","107","4","2897","王道銀行","4224109.00","3597804.00","547214.00","4604221.00","2670478.00","730948.00","1939530.00","2823.00","--","1942353.00","-381787.00","1560566.00","954659.00","--","987694.00","730675.00","--","829891.00","0.40"
"114/10/29","107","4","5876","上海商銀","27154396.00","9923978.00","638721.00","13502972.00","22936681.00","4575035.00","18361646.00","--","--","18361646.00","3774261.00","22135907.00","13711971.00","--","4649675.00","15005116.00","--","7130791.00","3.37"
