出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","2","2801","彰銀","9816679.00","4068681.00","939367.00","8067272.00","4878721.00","711271.00","4167450.00","--","--","4167450.00","595110.00","--","4762560.00","4167450.00","--","--","4762560.00","--","--","0.40"
"114/10/28","110","2","2812","台中銀","4563017.00","2026800.00","672978.00","3281869.00","2634970.00","358652.00","2276318.00","--","--","2276318.00","311165.00","--","2587483.00","2276318.00","--","--","2587483.00","--","--","0.55"
"114/10/28","110","2","2820","華票","633097.00","862960.00","-6901.00","259903.00","1243055.00","253957.00","989098.00","--","--","989098.00","-106653.00","--","882445.00","--","--","--","--","--","--","0.74"
"114/10/28","110","2","2834","臺企銀","8714424.00","2803859.00","2316224.00","6328871.00","2873188.00","374379.00","2498809.00","--","--","2498809.00","18517.00","--","2517326.00","2498809.00","0.00","0.00","2517326.00","0.00","0.00","0.33"
"114/10/28","110","2","2836","高雄銀","1372709.00","704280.00","298567.00","1264574.00","513848.00","54226.00","459622.00","--","--","459622.00","-8453.00","--","451169.00","--","--","--","--","--","--","0.41"
"114/10/28","110","2","2838","聯邦銀","4264919.00","3864157.00","391277.00","5146164.00","2591635.00","328892.00","2262743.00","--","--","2262743.00","1510177.00","--","3772920.00","2262647.00","--","96.00","3772822.00","--","98.00","0.73"
"114/10/28","110","2","2845","遠東銀","3227881.00","2358723.00","589455.00","3355097.00","1642052.00","193003.00","1449049.00","--","--","1449049.00","-286712.00","--","1162337.00","1449049.00","--","--","1162337.00","--","--","0.42"
"114/10/28","110","2","2849","安泰銀","1786819.00","1153311.00","85963.00","1452799.00","1401368.00","173113.00","1228255.00","0.00","--","1228255.00","-181354.00","--","1046901.00","--","--","--","--","--","--","0.63"
"114/10/28","110","2","2897","王道銀行","2279638.00","2402700.00","155746.00","2271709.00","2254883.00","555893.00","1698990.00","-3001.00","--","1695989.00","-194837.00","--","1501152.00","972838.00","--","723151.00","866025.00","--","635127.00","0.31"
"114/10/28","110","2","5876","上海商銀","13366507.00","6008352.00","685030.00","7521606.00","11168223.00","1656006.00","9512217.00","--","--","9512217.00","-808554.00","--","8703663.00","7304152.00","--","2208065.00","6871506.00","--","1832157.00","1.63"
