出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","2","1240","茂生農經","1380688.00","1266767.00","4232.00","41127.00","159280.00","--","--","159280.00","111788.00","--","47492.00","23890.00","71382.00","15473.00","55909.00","--","--","55909.00","42135.00","--","98044.00","66533.00","--","-10624.00","108668.00","--","-10624.00","1.90"
"114/10/28","110","2","1259","安心","2473862.00","1880840.00","--","--","593022.00","--","--","593022.00","592270.00","--","752.00","21459.00","22211.00","5506.00","16705.00","--","--","16705.00","285694.00","--","302399.00","20996.00","--","-4291.00","307088.00","--","-4689.00","0.65"
"114/10/28","110","2","1264","德麥","2282041.00","1442755.00","--","--","839286.00","--","--","839286.00","409263.00","--","430023.00","3401.00","433424.00","103314.00","330110.00","--","--","330110.00","-28689.00","--","301421.00","273733.00","--","56377.00","256613.00","--","44808.00","8.13"
"114/10/28","110","2","1268","漢來美食","1539579.00","923517.00","--","--","616062.00","--","--","616062.00","669120.00","--","-53058.00","62355.00","9297.00","-9479.00","18776.00","0.00","--","18776.00","69130.00","--","87906.00","18776.00","--","--","87906.00","--","--","0.50"
"114/10/28","110","2","1294","漢田生技","121366.00","65171.00","--","--","56195.00","--","--","56195.00","30826.00","--","25369.00","-912.00","24457.00","4404.00","20053.00","--","--","20053.00","--","--","20053.00","20903.00","--","-850.00","20903.00","--","-850.00","2.60"
"114/10/28","110","2","1336","台翰","940270.00","793246.00","--","--","147024.00","--","--","147024.00","106827.00","--","40197.00","-3662.00","36535.00","20406.00","16129.00","--","--","16129.00","-25585.00","--","-9456.00","16129.00","--","--","-9456.00","--","--","0.21"
"114/10/28","110","2","1565","精華","2648966.00","1868240.00","--","--","780726.00","--","--","780726.00","199413.00","--","581313.00","-56938.00","524375.00","86664.00","437711.00","--","--","437711.00","-2710.00","--","435001.00","437711.00","--","--","435001.00","--","--","8.68"
"114/10/28","110","2","1569","濱川","2100601.00","1650121.00","--","--","450480.00","--","--","450480.00","289847.00","--","160633.00","-30794.00","129839.00","28632.00","101207.00","--","--","101207.00","-49909.00","--","51298.00","98355.00","--","2852.00","52779.00","--","-1481.00","0.82"
"114/10/28","110","2","1570","力肯","315098.00","232481.00","--","--","82617.00","--","--","82617.00","40234.00","--","42383.00","63005.00","105388.00","23807.00","81581.00","--","--","81581.00","-421.00","--","81160.00","81581.00","--","0.00","81160.00","--","0.00","1.58"
"114/10/28","110","2","1580","新麥","1876389.00","1156725.00","--","--","719664.00","--","--","719664.00","424883.00","--","294781.00","11779.00","306560.00","105957.00","200603.00","--","--","200603.00","-37901.00","--","162702.00","193919.00","--","6684.00","156850.00","--","5852.00","3.86"
"114/10/28","110","2","1584","精剛","398067.00","375753.00","--","--","22314.00","--","--","22314.00","29569.00","--","-7255.00","15854.00","8599.00","-1394.00","9993.00","--","--","9993.00","130372.00","--","140365.00","9993.00","--","0.00","140365.00","--","0.00","0.09"
"114/10/28","110","2","1586","和勤","1281863.00","1021654.00","--","--","260209.00","--","--","260209.00","140387.00","--","119822.00","-5066.00","114756.00","45748.00","69008.00","--","--","69008.00","-6617.00","--","62391.00","69008.00","--","--","62391.00","--","--","0.85"
"114/10/28","110","2","1591","駿吉-KY","385605.00","299694.00","--","--","85911.00","--","--","85911.00","35384.00","--","50527.00","5914.00","56441.00","15077.00","41364.00","--","--","41364.00","-16561.00","--","24803.00","41364.00","--","--","24803.00","--","--","1.27"
"114/10/28","110","2","1593","祺驊","605540.00","448865.00","--","--","156675.00","--","--","156675.00","74138.00","--","82537.00","13785.00","96322.00","15761.00","80561.00","--","--","80561.00","-12146.00","--","68415.00","80325.00","--","236.00","68179.00","--","236.00","2.32"
"114/10/28","110","2","1595","川寶","1054457.00","795999.00","--","--","258458.00","--","--","258458.00","161088.00","--","97370.00","-26032.00","71338.00","17381.00","53957.00","--","--","53957.00","-482.00","--","53475.00","53957.00","--","--","53475.00","--","--","1.15"
"114/10/28","110","2","1599","宏佳騰","1544162.00","1126379.00","--","--","417783.00","--","--","417783.00","237340.00","--","180443.00","7357.00","187800.00","31872.00","155928.00","--","--","155928.00","11338.00","--","167266.00","155928.00","--","--","167266.00","--","--","2.11"
"114/10/28","110","2","1742","台蠟","272219.00","215034.00","--","--","57185.00","--","--","57185.00","35339.00","--","21846.00","-8649.00","13197.00","2875.00","10322.00","--","--","10322.00","-3954.00","--","6368.00","10322.00","--","--","6368.00","--","--","0.15"
"114/10/28","110","2","1777","生泰","451918.00","294355.00","--","--","157563.00","--","--","157563.00","52783.00","--","104780.00","-14943.00","89837.00","15616.00","74221.00","--","--","74221.00","160.00","--","74381.00","--","--","--","--","--","--","2.47"
"114/10/28","110","2","1781","合世","407870.00","369904.00","--","--","37966.00","--","--","37966.00","72448.00","--","-34482.00","9572.00","-24910.00","-17684.00","-7226.00","--","--","-7226.00","-1565.00","--","-8791.00","-7226.00","--","--","-8791.00","--","--","-0.15"
"114/10/28","110","2","1784","訊聯","475488.00","213889.00","--","--","261599.00","--","--","261599.00","227801.00","--","33798.00","1620.00","35418.00","7155.00","28263.00","--","--","28263.00","-192.00","--","28071.00","23649.00","--","4614.00","23571.00","--","4500.00","0.50"
"114/10/28","110","2","1785","光洋科","15028827.00","13333131.00","--","--","1695696.00","--","--","1695696.00","922789.00","--","772907.00","-31187.00","741720.00","142733.00","598987.00","--","--","598987.00","-35797.00","--","563190.00","574071.00","--","24916.00","539867.00","--","23323.00","0.99"
"114/10/28","110","2","1788","杏昌","1881166.00","1393607.00","--","--","487559.00","--","--","487559.00","292146.00","--","195413.00","16697.00","212110.00","37900.00","174210.00","--","--","174210.00","-1905.00","--","172305.00","174210.00","--","--","172305.00","--","--","4.58"
"114/10/28","110","2","1796","金穎生技","234817.00","147258.00","--","--","87559.00","--","--","87559.00","54417.00","--","33142.00","-5007.00","28135.00","6397.00","21738.00","--","--","21738.00","-383.00","--","21355.00","21738.00","--","--","21355.00","--","--","0.56"
"114/10/28","110","2","1799","易威","118164.00","101270.00","--","--","16894.00","--","--","16894.00","133004.00","--","-116110.00","49007.00","-67103.00","850.00","-67953.00","--","--","-67953.00","-9760.00","--","-77713.00","-56385.00","--","-11568.00","-65727.00","--","-11986.00","-0.40"
"114/10/28","110","2","1813","寶利徠","249607.00","219345.00","--","--","30262.00","--","--","30262.00","41133.00","--","-10871.00","10727.00","-144.00","-2087.00","1943.00","--","--","1943.00","-15302.00","--","-13359.00","4175.00","--","-2232.00","-10343.00","--","-3016.00","0.09"
"114/10/28","110","2","1815","富喬","2587064.00","2036891.00","--","--","550173.00","--","--","550173.00","352034.00","--","198139.00","-39388.00","158751.00","-15915.00","174666.00","--","--","174666.00","5304.00","--","179970.00","174666.00","0.00","0.00","179970.00","0.00","0.00","0.42"
"114/10/28","110","2","2035","唐榮公司","7268643.00","6779735.00","--","--","488908.00","--","--","488908.00","157378.00","--","331530.00","20380.00","351910.00","0.00","351910.00","--","--","351910.00","31450.00","--","383360.00","--","--","--","--","--","--","1.01"
"114/10/28","110","2","2061","風青","475432.00","420255.00","--","--","55177.00","--","--","55177.00","32804.00","--","22373.00","73946.00","96319.00","427.00","95892.00","--","--","95892.00","-3950.00","--","91942.00","95892.00","--","--","91942.00","--","--","2.09"
"114/10/28","110","2","2063","世鎧","636639.00","476255.00","--","--","160384.00","--","--","160384.00","62472.00","--","97912.00","-4217.00","93695.00","18244.00","75451.00","--","--","75451.00","-675.00","--","74776.00","75451.00","--","--","74776.00","--","--","1.68"
