出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","112","2","2880","華南金","14363828.00","14844005.00","29207833.00","755309.00","631550.00","15039194.00","12781780.00","2276039.00","10505741.00","--","10505741.00","3893209.00","14398950.00","10505674.00","--","67.00","14398851.00","--","99.00","0.77"
"114/10/29","112","2","2881","富邦金","81598814.00","16560881.00","98159695.00","3963548.00","10459414.00","37347098.00","46389635.00","3887512.00","42502123.00","--","42502123.00","157748373.00","200250496.00","42905036.00","--","-402913.00","199809092.00","--","441404.00","3.18"
"114/10/29","112","2","2882","國泰金","120501493.00","41910988.00","162412481.00","1260923.00","73660175.00","48827797.00","38663586.00","5645798.00","33017788.00","--","33017788.00","93006527.00","126024315.00","32495667.00","--","522121.00","124888302.00","--","1136013.00","1.98"
"114/10/29","112","2","2883","凱基金","36133288.00","-7479848.00","28653440.00","-55353.00","2419817.00","15749269.00","10539707.00","392604.00","10147103.00","--","10147103.00","25020328.00","35167431.00","10142778.00","--","4325.00","35165717.00","--","1714.00","0.61"
"114/10/29","112","2","2884","玉山金","13995345.00","17308952.00","31304297.00","422384.00","--","17631859.00","13250054.00","2700185.00","10549869.00","--","10549869.00","1031624.00","11581493.00","10542913.00","--","6956.00","11574469.00","--","7024.00","0.70"
"114/10/29","112","2","2885","元大金","14889424.00","35243180.00","50132604.00","162726.00","8022660.00","23502892.00","18444326.00","2604795.00","15839531.00","--","15839531.00","5003467.00","20842998.00","14969541.00","--","869990.00","20359087.00","--","483911.00","1.18"
"114/10/29","112","2","2886","兆豐金","18209460.00","20551840.00","38761300.00","4934449.00","-2330358.00","15717349.00","20439860.00","1673049.00","18766811.00","--","18766811.00","10076252.00","28843063.00","18766811.00","--","0.00","28843063.00","--","0.00","1.34"
"114/10/29","112","2","2887","台新新光金","14880448.00","21856826.00","36737274.00","811947.00","9430927.00","15831474.00","10662926.00","1778239.00","8884687.00","--","8884687.00","4830489.00","13715176.00","8882957.00","--","1730.00","13713446.00","--","1730.00","0.63"
"114/10/29","112","2","2889","國票金","654685.00","2935299.00","3589984.00","9813.00","--","1892556.00","1687615.00","348142.00","1339473.00","--","1339473.00","947868.00","2287341.00","1124147.00","--","215326.00","1942762.00","--","344579.00","0.33"
"114/10/29","112","2","2890","永豐金","12475448.00","14092904.00","26568352.00","910494.00","--","13936374.00","11721484.00","1621980.00","10099504.00","--","10099504.00","4795787.00","14895291.00","10099504.00","--","--","14895291.00","--","--","0.84"
"114/10/29","112","2","2891","中信金","65240106.00","-2749886.00","62490220.00","3736556.00","-16175116.00","42087792.00","32840988.00","3151841.00","29689147.00","--","29689147.00","23454962.00","53144109.00","28813033.00","--","876114.00","53150336.00","--","-6227.00","1.48"
"114/10/29","112","2","2892","第一金","16066312.00","19091095.00","35157407.00","2435855.00","1805657.00","14634034.00","16281861.00","3123399.00","13158462.00","--","13158462.00","8755554.00","21914016.00","13158462.00","--","--","21914016.00","--","--","0.97"
"114/10/29","112","2","5880","合庫金","16606639.00","13737024.00","30343663.00","2078618.00","1753947.00","14393120.00","12117978.00","2281354.00","9836624.00","--","9836624.00","8943125.00","18779749.00","9525438.00","--","311186.00","18318571.00","--","461178.00","0.65"
